,docs_code,docs_title,article_index,subject_title
2062,166/2015/TT-BTC,Thông tư số 166/2015/TT-BTC,Điều 2,An toàn thông tin mạng
2186,13/2018/TT-BTTTT,Thông tư số 13/2018/TT-BTTTT,Điều 6,An toàn thông tin mạng
2258,35/2016/TT-BTTTT,Thông tư số 35/2016/TT-BTTTT,Điều 2,Bưu chính
2268,49/2010/QH12,Luật số 49/2010/QH12,Điều 4,Bưu chính
2432,55/2016/QĐ-TTG,Quyết định số 55/2016/QĐ-TTg,Điều 13,Bưu chính
2505,64/2007/NĐ-CP,Nghị định số 64/2007/NĐ-CP,Điều 1,Công nghệ thông tin
2527,20/2020/QĐ-TTG,Quyết định số 20/2020/QĐ-TTg,Điều 2,Công nghệ thông tin
2639,67/2006/QH11,Luật số 67/2006/QH11,Điều 7,Công nghệ thông tin
2645,64/2007/NĐ-CP,Nghị định số 64/2007/NĐ-CP,Điều 49,Công nghệ thông tin
2771,64/2007/NĐ-CP,Nghị định số 64/2007/NĐ-CP,Điều 32,Công nghệ thông tin
3103,29/2017/TT-BTNMT,Thông tư số 29/2017/TT-BTNMT,Điều 4,Công nghệ thông tin
3106,29/2017/TT-BTNMT,Thông tư số 29/2017/TT-BTNMT,Điều 7,Công nghệ thông tin
3273,154/2013/NĐ-CP,Nghị định số 154/2013/NĐ-CP,Điều 23,Công nghệ thông tin
3276,67/2006/QH11,Luật số 67/2006/QH11,Điều 52,Công nghệ thông tin
3336,73/2019/NĐ-CP,Nghị định số 73/2019/NĐ-CP,Điều 25,Công nghệ thông tin
3457,67/2006/QH11,Luật số 67/2006/QH11,Điều 78,Công nghệ thông tin
3458,67/2006/QH11,Luật số 67/2006/QH11,Điều 79,Công nghệ thông tin
3461,71/2007/NĐ-CP,Nghị định số 71/2007/NĐ-CP,Điều 31,Công nghệ thông tin
3464,43/2011/NĐ-CP,Nghị định số 43/2011/NĐ-CP,Điều 33,Công nghệ thông tin
3473,73/2017/NĐ-CP,Nghị định số 73/2017/NĐ-CP,Điều 33,Công nghệ thông tin
3487,43/2021/NĐ-CP,Nghị định số 43/2021/NĐ-CP,Điều 24,Công nghệ thông tin
3499,07/2012/TTLT-BTTTT-BVHTTDL,Thông tư liên tịch số 07/2012/TTLT-BTTTT-BVHTTDL,Điều 7,Công nghệ thông tin
3504,09/2013/TT-BTTTT,Thông tư số 09/2013/TT-BTTTT,Điều 4,Công nghệ thông tin
3506,03/2014/TT-BTTTT,Thông tư số 03/2014/TT-BTTTT,Điều 3,Công nghệ thông tin
3512,110/2014/TT-BQP,Thông tư số 110/2014/TT-BQP,Điều 3,Công nghệ thông tin
3517,53/2014/TT-BYT,Thông tư số 53/2014/TT-BYT,Điều 7,Công nghệ thông tin
3521,25/2014/TT-BTTTT,Thông tư số 25/2014/TT-BTTTT,Điều 12,Công nghệ thông tin
3533,17/2016/TT-BTNMT,Thông tư số 17/2016/TT-BTNMT,Điều 2,Công nghệ thông tin
3536,43/2016/TT-BTTTT,Thông tư số 43/2016/TT-BTTTT,Điều 4,Công nghệ thông tin
3539,02/2017/TT-BTTTT,Thông tư số 02/2017/TT-BTTTT,Điều 2,Công nghệ thông tin
3544,29/2017/TT-BTNMT,Thông tư số 29/2017/TT-BTNMT,Điều 12,Công nghệ thông tin
3569,80/2020/TT-BCA,Thông tư số 80/2020/TT-BCA,Điều 8,Công nghệ thông tin
3590,12/2012/TT-BTTTT,Thông tư số 12/2012/TT-BTTTT,Điều 1,Tần số vô tuyến điện
3638,71/2013/QĐ-TTG,Quyết định số 71/2013/QĐ-TTg,Điều 1,Tần số vô tuyến điện
3746,42/2009/QH12,Luật số 42/2009/QH12,Điều 28,Tần số vô tuyến điện
3771,02/2016/TT-BTTTT,Thông tư số 02/2016/TT-BTTTT,Điều 19,Tần số vô tuyến điện
3803,20/2012/TT-BTTTT,Thông tư số 20/2012/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3805,15/2013/TT-BTTTT,Thông tư số 15/2013/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3807,10/2013/TTLT-BTTTT-BQP-BCA,Thông tư liên tịch số 10/2013/TTLT-BTTTT-BQP-BCA,Điều 11,Tần số vô tuyến điện
3809,16/2013/TT-BTTTT,Thông tư số 16/2013/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3811,18/2013/TT-BTTTT,Thông tư số 18/2013/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3813,19/2013/TT-BTTTT,Thông tư số 19/2013/TT-BTTTT,Điều 4,Tần số vô tuyến điện
3818,29/2014/TT-BTTTT,Thông tư số 29/2014/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3823,14/2015/TT-BTTTT,Thông tư số 14/2015/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3825,02/2016/TT-BTTTT,Thông tư số 02/2016/TT-BTTTT,Điều 23,Tần số vô tuyến điện
3841,14/2019/TT-BTTTT,Thông tư số 14/2019/TT-BTTTT,Điều 2,Tần số vô tuyến điện
3877,06/2017/TT-BTP,Thông tư số 06/2017/TT-BTP,Điều 11,Đấu giá tài sản
4015,18/2014/TT-BTP,Thông tư số 18/2014/TT-BTP,Điều 17,Đấu giá tài sản
4022,02/2022/TT-BTP,Thông tư số 02/2022/TT-BTP,Điều 10,Đấu giá tài sản
4033,35/2014/TT-BKHCN,Thông tư số 35/2014/TT-BKHCN,Điều 2,Giám định tư pháp
4046,40/2022/TT-BTC,Thông tư số 40/2022/TT-BTC,Điều 2,Giám định tư pháp
4051,13/2012/QH13,Luật số 13/2012/QH13,Điều 3,Giám định tư pháp
4087,49/2017/TT-BCA,Thông tư số 49/2017/TT-BCA,Điều 5,Giám định tư pháp
4134,40/2022/TT-BTC,Thông tư số 40/2022/TT-BTC,Điều 3,Giám định tư pháp
4197,44/2014/TT-BTNMT,Thông tư số 44/2014/TT-BTNMT,Điều 4,Giám định tư pháp
4239,35/2014/TT-BKHCN,Thông tư số 35/2014/TT-BKHCN,Điều 7,Giám định tư pháp
4270,30/2016/TT-BCT,Thông tư số 30/2016/TT-BCT,Điều 6,Giám định tư pháp
4299,09/2023/TT-BTP,Thông tư số 09/2023/TT-BTP,Điều 19,Giám định tư pháp
4377,65/2006/QH11,Luật số 65/2006/QH11,Điều 39,Luật sư
4552,11/2017/QH14,Luật số 11/2017/QH14,Điều 27,Trợ giúp pháp lý
6725,100/2009/NĐ-CP,Nghị định số 100/2009/NĐ-CP,Điều 6,Dầu khí
6776,36/2013/TT-BCT,Thông tư số 36/2013/TT-BCT,Điều 9,Khuyến công
7735,59/2020/QH14,Luật số 59/2020/QH14,Điều 2,Doanh nghiệp
8143,14/2016/TT-BTC,Thông tư số 14/2016/TT-BTC,Điều 6,Doanh nghiệp
8432,148/2017/NĐ-CP,Nghị định số 148/2017/NĐ-CP,Điều 11,Doanh nghiệp
8436,148/2017/NĐ-CP,Nghị định số 148/2017/NĐ-CP,Điều 15,Doanh nghiệp
8580,147/2017/NĐ-CP,Nghị định số 147/2017/NĐ-CP,Điều 3,Doanh nghiệp
9082,39/2019/NĐ-CP,Nghị định số 39/2019/NĐ-CP,Điều 58,Hỗ trợ doanh nghiệp nhỏ và vừa
9102,04/2017/QH14,Luật số 04/2017/QH14,Điều 34,Hỗ trợ doanh nghiệp nhỏ và vừa
9148,77/2019/NĐ-CP,Nghị định số 77/2019/NĐ-CP,Điều 2,Hợp tác xã
9290,52/2022/TT-BTC,Thông tư số 52/2022/TT-BTC,Điều 19,Hợp tác xã
9439,77/2019/NĐ-CP,Nghị định số 77/2019/NĐ-CP,Điều 4,Hợp tác xã
9529,159/2018/NĐ-CP,Nghị định số 159/2018/NĐ-CP,Điều 1,Giao thông đường thủy nội địa
9534,08/2021/NĐ-CP,Nghị định số 08/2021/NĐ-CP,Điều 2,Giao thông đường thủy nội địa
9559,80/2014/TT-BGTVT,Thông tư số 80/2014/TT-BGTVT,Điều 1,Giao thông đường thủy nội địa
9570,15/2016/TT-BGTVT,Thông tư số 15/2016/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
9571,46/2016/TT-BGTVT,Thông tư số 46/2016/TT-BGTVT,Điều 1,Giao thông đường thủy nội địa
9584,33/2019/TT-BGTVT,Thông tư số 33/2019/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
9591,18/2021/TT-BGTVT,Thông tư số 18/2021/TT-BGTVT,Điều 1,Giao thông đường thủy nội địa
9594,36/2021/TT-BGTVT,Thông tư số 36/2021/TT-BGTVT,Điều 1,Giao thông đường thủy nội địa
9595,36/2021/TT-BGTVT,Thông tư số 36/2021/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
9600,56/2022/TT-BCA,Thông tư số 56/2022/TT-BCA,Điều 2,Giao thông đường thủy nội địa
9625,15/2016/TT-BGTVT,Thông tư số 15/2016/TT-BGTVT,Điều 3,Giao thông đường thủy nội địa
9650,23/2004/QH11,Luật số 23/2004/QH11,Điều 9,Giao thông đường thủy nội địa
9743,35/2012/TT-BGTVT,Thông tư số 35/2012/TT-BGTVT,Điều 6,Giao thông đường thủy nội địa
9816,15/2016/TT-BGTVT,Thông tư số 15/2016/TT-BGTVT,Điều 19,Giao thông đường thủy nội địa
9840,49/2017/TT-BGTVT,Thông tư số 49/2017/TT-BGTVT,Điều 1,Giao thông đường thủy nội địa
9866,21/2022/TT-BGTVT,Thông tư số 21/2022/TT-BGTVT,Điều 4,Giao thông đường thủy nội địa
9868,21/2022/TT-BGTVT,Thông tư số 21/2022/TT-BGTVT,Điều 6,Giao thông đường thủy nội địa
9878,23/2004/QH11,Luật số 23/2004/QH11,Điều 23,Giao thông đường thủy nội địa
9925,22/2012/TTLT-BGTVT-BVHTTDL,Thông tư liên tịch số 22/2012/TTLT-BGTVT-BVHTTDL,Điều 7,Giao thông đường thủy nội địa
10024,23/2004/QH11,Luật số 23/2004/QH11,Điều 59,Giao thông đường thủy nội địa
10026,23/2004/QH11,Luật số 23/2004/QH11,Điều 61,Giao thông đường thủy nội địa
10027,23/2004/QH11,Luật số 23/2004/QH11,Điều 62,Giao thông đường thủy nội địa
10028,23/2004/QH11,Luật số 23/2004/QH11,Điều 63,Giao thông đường thủy nội địa
10029,23/2004/QH11,Luật số 23/2004/QH11,Điều 64,Giao thông đường thủy nội địa
10033,23/2004/QH11,Luật số 23/2004/QH11,Điều 68,Giao thông đường thủy nội địa
10062,26/2017/TT-BGTVT,Thông tư số 26/2017/TT-BGTVT,Điều 7,Giao thông đường thủy nội địa
10150,23/2004/QH11,Luật số 23/2004/QH11,Điều 98,Giao thông đường thủy nội địa
10275,23/2004/QH11,Luật số 23/2004/QH11,Điều 102,Giao thông đường thủy nội địa
10276,23/2004/QH11,Luật số 23/2004/QH11,Điều 103,Giao thông đường thủy nội địa
10284,111/2014/NĐ-CP,Nghị định số 111/2014/NĐ-CP,Điều 12,Giao thông đường thủy nội địa
10294,54/2022/NĐ-CP,Nghị định số 54/2022/NĐ-CP,Điều 3,Giao thông đường thủy nội địa
10298,48/2019/NĐ-CP,Nghị định số 48/2019/NĐ-CP,Điều 29,Giao thông đường thủy nội địa
10313,30/2004/QĐ-BGTVT,Quyết định số 30/2004/QĐ-BGTVT,Điều 2,Giao thông đường thủy nội địa
10317,31/2004/QĐ-BGTVT,Quyết định số 31/2004/QĐ-BGTVT,Điều 3,Giao thông đường thủy nội địa
10328,03/2013/TT-BGTVT,Thông tư số 03/2013/TT-BGTVT,Điều 13,Giao thông đường thủy nội địa
10332,35/2012/TT-BGTVT,Thông tư số 35/2012/TT-BGTVT,Điều 11,Giao thông đường thủy nội địa
10334,49/2018/TT-BGTVT,Thông tư số 49/2018/TT-BGTVT,Điều 13,Giao thông đường thủy nội địa
10336,43/2012/TT-BGTVT,Thông tư số 43/2012/TT-BGTVT,Điều 16,Giao thông đường thủy nội địa
10342,26/2013/TT-BGTVT,Thông tư số 26/2013/TT-BGTVT,Điều 14,Giao thông đường thủy nội địa
10344,57/2013/TT-BGTVT,Thông tư số 57/2013/TT-BGTVT,Điều 18,Giao thông đường thủy nội địa
10349,69/2014/TT-BGTVT,Thông tư số 69/2014/TT-BGTVT,Điều 10,Giao thông đường thủy nội địa
10353,79/2014/TT-BGTVT,Thông tư số 79/2014/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10357,59/2015/TT-BGTVT,Thông tư số 59/2015/TT-BGTVT,Điều 26,Giao thông đường thủy nội địa
10359,04/2015/TT-BGTVT,Thông tư số 04/2015/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10361,45/2015/TT-BGTVT,Thông tư số 45/2015/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10369,61/2015/TT-BGTVT,Thông tư số 61/2015/TT-BGTVT,Điều 24,Giao thông đường thủy nội địa
10382,10/2021/TT-BGTVT,Thông tư số 10/2021/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10384,01/2017/TT-BGTVT,Thông tư số 01/2017/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10389,06/2020/TT-BGTVT,Thông tư số 06/2020/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10391,09/2017/TT-BGTVT,Thông tư số 09/2017/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10399,50/2017/TT-BGTVT,Thông tư số 50/2017/TT-BGTVT,Điều 17,Giao thông đường thủy nội địa
10405,39/2018/TT-BGTVT,Thông tư số 39/2018/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10407,12/2019/TT-BGTVT,Thông tư số 12/2019/TT-BGTVT,Điều 2,Giao thông đường thủy nội địa
10413,33/2022/TT-BGTVT,Thông tư số 33/2022/TT-BGTVT,Điều 21,Giao thông đường thủy nội địa
10488,54/2013/TT-BGTVT,Thông tư số 54/2013/TT-BGTVT,Điều 2,Hàng hải Việt Nam
10493,14/2016/TT-BGTVT,Thông tư số 14/2016/TT-BGTVT,Điều 1,Hàng hải Việt Nam
10500,40/2016/TT-BGTVT,Thông tư số 40/2016/TT-BGTVT,Điều 2,Hàng hải Việt Nam
10520,07/2018/TT-BGTVT,Thông tư số 07/2018/TT-BGTVT,Điều 2,Hàng hải Việt Nam
10529,35/2019/TT-BGTVT,Thông tư số 35/2019/TT-BGTVT,Điều 2,Hàng hải Việt Nam
10536,19/2021/TT-BGTVT,Thông tư số 19/2021/TT-BGTVT,Điều 1,Hàng hải Việt Nam
10582,14/2016/TT-BGTVT,Thông tư số 14/2016/TT-BGTVT,Điều 10,Hàng hải Việt Nam
10615,66/2014/TT-BGTVT,Thông tư số 66/2014/TT-BGTVT,Điều 19,Hàng hải Việt Nam
10622,18/2017/TT-BGTVT,Thông tư số 18/2017/TT-BGTVT,Điều 1,Hàng hải Việt Nam
10625,44/2018/TT-BGTVT,Thông tư số 44/2018/TT-BGTVT,Điều 1,Hàng hải Việt Nam
10628,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 10,Hàng hải Việt Nam
10725,51/2017/TT-BGTVT,Thông tư số 51/2017/TT-BGTVT,Điều 10,Hàng hải Việt Nam
10748,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 30,Hàng hải Việt Nam
10786,25/2017/TT-BGTVT,Thông tư số 25/2017/TT-BGTVT,Điều 11,Hàng hải Việt Nam
10827,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 49,Hàng hải Việt Nam
11017,29/2017/NĐ-CP,Nghị định số 29/2017/NĐ-CP,Điều 6,Hàng hải Việt Nam
11056,26/2016/TT-BGTVT,Thông tư số 26/2016/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11059,44/2016/TT-BGTVT,Thông tư số 44/2016/TT-BGTVT,Điều 1,Hàng hải Việt Nam
11070,55/2018/TT-BGTVT,Thông tư số 55/2018/tt-bgtvt,Điều 3,Hàng hải Việt Nam
11075,57/2018/TT-BGTVT,Thông tư số 57/2018/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11078,58/2018/TT-BGTVT,Thông tư số 58/2018/TT-BGTVT,Điều 1,Hàng hải Việt Nam
11083,02/2019/TT-BGTVT,Thông tư số 02/2019/TT-BGTVT,Điều 1,Hàng hải Việt Nam
11088,14/2019/TT-BGTVT,Thông tư số 14/2019/TT-BGTVT,Điều 1,Hàng hải Việt Nam
11099,21/2019/TT-BGTVT,Thông tư số 21/2019/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11109,37/2019/TT-BGTVT,Thông tư số 37/2019/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11119,17/2020/TT-BGTVT,Thông tư số 17/2020/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11125,27/2020/TT-BGTVT,Thông tư số 27/2020/TT-BGTVT,Điều 1,Hàng hải Việt Nam
11127,27/2020/TT-BGTVT,Thông tư số 27/2020/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11150,35/2019/TT-BGTVT,Thông tư số 35/2019/TT-BGTVT,Điều 12,Hàng hải Việt Nam
11171,37/2017/NĐ-CP,Nghị định số 37/2017/NĐ-CP,Điều 6,Hàng hải Việt Nam
11209,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 91,Hàng hải Việt Nam
11284,25/2016/QĐ-TTG,Quyết định số 25/2016/QĐ-TTg,Điều 1,Hàng hải Việt Nam
11304,38/2017/NĐ-CP,Nghị định số 38/2017/NĐ-CP,Điều 4,Hàng hải Việt Nam
11323,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 104,Hàng hải Việt Nam
11324,38/2017/NĐ-CP,Nghị định số 38/2017/NĐ-CP,Điều 19,Hàng hải Việt Nam
11361,19/2013/TT-BGTVT,Thông tư số 19/2013/TT-BGTVT,Điều 11,Hàng hải Việt Nam
11487,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 111,Hàng hải Việt Nam
11529,30/2016/TT-BGTVT,Thông tư số 30/2016/TT-BGTVT,Điều 7,Hàng hải Việt Nam
11726,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 250,Hàng hải Việt Nam
11879,95/2015/QH13,Bộ luật số 95/2015/QH13,Điều 341,Hàng hải Việt Nam
11883,121/2014/NĐ-CP,Nghị định số 121/2014/NĐ-CP,Điều 20,Hàng hải Việt Nam
11888,147/2018/NĐ-CP,Nghị định số 147/2018/NĐ-CP,Điều 7,Hàng hải Việt Nam
11893,146/2016/NĐ-CP,Nghị định số 146/2016/NĐ-CP,Điều 11,Hàng hải Việt Nam
11933,12/2011/TT-BGTVT,Thông tư số 12/2011/TT-BGTVT,Điều 14,Hàng hải Việt Nam
11935,29/2019/TT-BGTVT,Thông tư số 29/2019/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11937,27/2011/TT-BGTVT,Thông tư số 27/2011/TT-BGTVT,Điều 10,Hàng hải Việt Nam
11941,46/2011/TT-BGTVT,Thông tư số 46/2011/TT-BGTVT,Điều 14,Hàng hải Việt Nam
11944,28/2019/TT-BGTVT,Thông tư số 28/2019/TT-BGTVT,Điều 3,Hàng hải Việt Nam
11947,06/2013/TT-BGTVT,Thông tư số 06/2013/TT-BGTVT,Điều 2,Hàng hải Việt Nam
11959,48/2013/TT-BGTVT,Thông tư số 48/2013/TT-BGTVT,Điều 2,Hàng hải Việt Nam
11965,06/2014/TT-BGTVT,Thông tư số 06/2014/TT-BGTVT,Điều 2,Hàng hải Việt Nam
11971,68/2014/TT-BGTVT,Thông tư số 68/2014/TT-BGTVT,Điều 2,Hàng hải Việt Nam
11977,24/2017/TT-BGTVT,Thông tư số 24/2017/TT-BGTVT,Điều 2,Hàng hải Việt Nam
11989,14/2016/TT-BGTVT,Thông tư số 14/2016/TT-BGTVT,Điều 11,Hàng hải Việt Nam
11993,24/2016/TT-BGTVT,Thông tư số 24/2016/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12011,10/2017/TT-BGTVT,Thông tư số 10/2017/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12023,43/2019/TT-BGTVT,Thông tư số 43/2019/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12042,06/2018/TT-BGTVT,Thông tư số 06/2018/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12050,40/2018/TT-BGTVT,Thông tư số 40/2018/TT-BGTVT,Điều 14,Hàng hải Việt Nam
12054,44/2018/TT-BGTVT,Thông tư số 44/2018/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12066,05/2019/TT-BGTVT,Thông tư số 05/2019/TT-BGTVT,Điều 6,Hàng hải Việt Nam
12068,09/2019/TT-BGTVT,Thông tư số 09/2019/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12086,30/2021/TT-BGTVT,Thông tư số 30/2021/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12100,17/2020/TT-BGTVT,Thông tư số 17/2020/TT-BGTVT,Điều 5,Hàng hải Việt Nam
12102,18/2020/TT-BGTVT,Thông tư số 18/2020/TT-BGTVT,Điều 5,Hàng hải Việt Nam
12104,02/2022/TT-BGTVT,Thông tư số 02/2022/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12106,25/2020/TT-BGTVT,Thông tư số 25/2020/TT-BGTVT,Điều 3,Hàng hải Việt Nam
12110,08/2021/TT-BGTVT,Thông tư số 08/2021/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12112,09/2021/TT-BGTVT,Thông tư số 09/2021/TT-BGTVT,Điều 2,Hàng hải Việt Nam
12114,19/2021/TT-BGTVT,Thông tư số 19/2021/TT-BGTVT,Điều 7,Hàng hải Việt Nam
12118,03/2022/TT-BGTVT,Thông tư số 03/2022/TT-BGTVT,Điều 5,Hàng hải Việt Nam
12145,05/2021/NĐ-CP,Nghị định số 05/2021/NĐ-CP,Điều 2,Hàng không dân dụng Việt Nam
12158,60/2014/TT-BTC,Thông tư số 60/2014/TT-BTC,Điều 1,Hàng không dân dụng Việt Nam
12164,21/2015/TTLT-BTC-BGTVT,Thông tư liên tịch số 21/2015/TTLT-BTC-BGTVT,Điều 2,Hàng không dân dụng Việt Nam
12180,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 2,Hàng không dân dụng Việt Nam
12195,29/2021/TT-BGTVT,Thông tư số 29/2021/TT-BGTVT,Điều 3,Hàng không dân dụng Việt Nam
12216,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 3,Hàng không dân dụng Việt Nam
12219,10/2018/TT-BGTVT,Thông tư số 10/2018/TT-BGTVT,Điều 3,Hàng không dân dụng Việt Nam
12252,66/2015/NĐ-CP,Nghị định số 66/2015/NĐ-CP,Điều 10,Hàng không dân dụng Việt Nam
12293,66/2006/QH11,Luật số 66/2006/QH11,Điều 24,Hàng không dân dụng Việt Nam
12359,110/2011/NĐ-CP,Nghị định số 110/2011/NĐ-CP,Điều 28,Hàng không dân dụng Việt Nam
12420,05/2021/NĐ-CP,Nghị định số 05/2021/NĐ-CP,Điều 54,Hàng không dân dụng Việt Nam
12479,29/2021/TT-BGTVT,Thông tư số 29/2021/TT-BGTVT,Điều 62,Hàng không dân dụng Việt Nam
12488,29/2021/TT-BGTVT,Thông tư số 29/2021/TT-BGTVT,Điều 71,Hàng không dân dụng Việt Nam
12496,29/2021/TT-BGTVT,Thông tư số 29/2021/TT-BGTVT,Điều 32,Hàng không dân dụng Việt Nam
12519,42/2016/NĐ-CP,Nghị định số 42/2016/NĐ-CP,Điều 8,Hàng không dân dụng Việt Nam
12524,05/2021/NĐ-CP,Nghị định số 05/2021/NĐ-CP,Điều 14,Hàng không dân dụng Việt Nam
12581,66/2006/QH11,Luật số 66/2006/QH11,Điều 59,Hàng không dân dụng Việt Nam
12707,66/2006/QH11,Luật số 66/2006/QH11,Điều 78,Hàng không dân dụng Việt Nam
12712,20/2014/TT-BQP,Thông tư số 20/2014/TT-BQP,Điều 1,Hàng không dân dụng Việt Nam
12744,96/2021/NĐ-CP,Nghị định số 96/2021/NĐ-CP,Điều 3,Hàng không dân dụng Việt Nam
12745,96/2021/NĐ-CP,Nghị định số 96/2021/NĐ-CP,Điều 4,Hàng không dân dụng Việt Nam
